Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,TOI,ATOI
2005-06,20,WSH,NHL,81,52,54,106,2,52,1751,21:37
2006-07,21,WSH,NHL,82,46,46,92,-19,52,1754,21:23
2007-08,22,WSH,NHL,82,65,47,112,28,40,1894,23:06
2008-09,23,WSH,NHL,79,56,54,110,8,72,1817,23:00
2009-10,24,WSH,NHL,72,50,59,109,45,89,1569,21:48
2010-11,25,WSH,NHL,79,32,53,85,24,41,1688,21:22
2011-12,26,WSH,NHL,78,38,27,65,-8,26,1544,19:48
2012-13,27,WSH,NHL,48,32,24,56,2,36,1002,20:53
2013-14,28,WSH,NHL,78,51,28,79,-35,48,1603,20:33
2014-15,29,WSH,NHL,81,53,28,81,10,58,1646,20:20
2015-16,30,WSH,NHL,79,50,21,71,21,53,1604,20:19
2016-17,31,WSH,NHL,82,33,36,69,6,50,1506,18:22
2017-18,32,WSH,NHL,82,49,38,87,3,32,1652,20:09
Career,,,NHL,1003,607,515,1122,87,649,21032,20:58